Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.9099999999999999,0.01,0.46171694377349065
75% Corpus,3,0.9099999999999999,0.31,0.4549892305587376
75% Corpus,3,0.9099999999999999,0.61,0.452853663583038
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.45513587001623285
75% Corpus,3,0.9099999999999999,symmetric,0.4549892305587377
75% Corpus,3,symmetric,0.01,0.4549892305587376
75% Corpus,3,symmetric,0.31,0.46044146225293153
75% Corpus,3,symmetric,0.61,0.4467853774330379
75% Corpus,3,symmetric,0.9099999999999999,0.45409284588298804
75% Corpus,3,symmetric,symmetric,0.4512495611970859
75% Corpus,3,asymmetric,0.01,0.4619173548406981
75% Corpus,3,asymmetric,0.31,0.45972582008372526
75% Corpus,3,asymmetric,0.61,0.45812591309174994
75% Corpus,3,asymmetric,0.9099999999999999,0.45500676244160676
75% Corpus,3,asymmetric,symmetric,0.4620639942981932
75% Corpus,4,0.01,0.01,0.4577395481303393
75% Corpus,4,0.01,0.31,0.4463668003990728
75% Corpus,4,0.01,0.61,0.44586585596112654
75% Corpus,4,0.01,0.9099999999999999,0.44426702531128853
75% Corpus,4,0.01,symmetric,0.45741494332331883
75% Corpus,4,0.31,0.01,0.4453255291046522
75% Corpus,4,0.31,0.31,0.455783629575888
75% Corpus,4,0.31,0.61,0.4443155299959692
75% Corpus,4,0.31,0.9099999999999999,0.4480680359848903
75% Corpus,4,0.31,symmetric,0.44597624821427134
75% Corpus,4,0.61,0.01,0.44240086933487605
75% Corpus,4,0.61,0.31,0.4517384864018897
75% Corpus,4,0.61,0.61,0.45367401874688806
75% Corpus,4,0.61,0.9099999999999999,0.44597423684384874
75% Corpus,4,0.61,symmetric,0.44675030022334805
75% Corpus,4,0.9099999999999999,0.01,0.4469982081525827
75% Corpus,4,0.9099999999999999,0.31,0.45082757130719703
75% Corpus,4,0.9099999999999999,0.61,0.45469997802640344
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.45480995761952475
75% Corpus,4,0.9099999999999999,symmetric,0.45906904866014453
75% Corpus,4,symmetric,0.01,0.4520865642143641
75% Corpus,4,symmetric,0.31,0.4481167423144206
75% Corpus,4,symmetric,0.61,0.44640932913701065
75% Corpus,4,symmetric,0.9099999999999999,0.4550256093499561
75% Corpus,4,symmetric,symmetric,0.44491546428071754
75% Corpus,4,asymmetric,0.01,0.46209411891019003
75% Corpus,4,asymmetric,0.31,0.4386606766059303
75% Corpus,4,asymmetric,0.61,0.4443447257531441
75% Corpus,4,asymmetric,0.9099999999999999,0.4593593074226775
75% Corpus,4,asymmetric,symmetric,0.44215589955617673
75% Corpus,5,0.01,0.01,0.43295429076641534
75% Corpus,5,0.01,0.31,0.3950039318965092
75% Corpus,5,0.01,0.61,0.464949455977864
75% Corpus,5,0.01,0.9099999999999999,0.46889756057270116
75% Corpus,5,0.01,symmetric,0.4416191389475431
75% Corpus,5,0.31,0.01,0.46057133696442243
75% Corpus,5,0.31,0.31,0.4578755542906183
75% Corpus,5,0.31,0.61,0.4466220718883953
75% Corpus,5,0.31,0.9099999999999999,0.45694251967695737
75% Corpus,5,0.31,symmetric,0.4175311620475933
75% Corpus,5,0.61,0.01,0.47199067868896216
75% Corpus,5,0.61,0.31,0.4612277848023692
75% Corpus,5,0.61,0.61,0.4484429706503435
75% Corpus,5,0.61,0.9099999999999999,0.4501334912170152
75% Corpus,5,0.61,symmetric,0.4636191479273137
75% Corpus,5,0.9099999999999999,0.01,0.46260016357808925
75% Corpus,5,0.9099999999999999,0.31,0.4605725710242975
75% Corpus,5,0.9099999999999999,0.61,0.49609957143550315
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.48069160987913867
75% Corpus,5,0.9099999999999999,symmetric,0.4761958564381758
75% Corpus,5,symmetric,0.01,0.46606877273649305
