Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,symmetric,0.47676121858232867
100% Corpus,9,0.61,0.01,0.48412479078398274
100% Corpus,9,0.61,0.31,0.495925720901644
100% Corpus,9,0.61,0.61,0.4909013469772438
100% Corpus,9,0.61,0.9099999999999999,0.4872874057654908
100% Corpus,9,0.61,symmetric,0.4741515565005117
100% Corpus,9,0.9099999999999999,0.01,0.47634514933682115
100% Corpus,9,0.9099999999999999,0.31,0.4754668456867881
100% Corpus,9,0.9099999999999999,0.61,0.5014502285678969
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.5214439042249341
100% Corpus,9,0.9099999999999999,symmetric,0.4772400781849012
100% Corpus,9,symmetric,0.01,0.4442549067153479
100% Corpus,9,symmetric,0.31,0.49219526193117336
100% Corpus,9,symmetric,0.61,0.4992481715938626
100% Corpus,9,symmetric,0.9099999999999999,0.4934865550707122
100% Corpus,9,symmetric,symmetric,0.46086285204467065
100% Corpus,9,asymmetric,0.01,0.45118815789867445
100% Corpus,9,asymmetric,0.31,0.5377846819553872
100% Corpus,9,asymmetric,0.61,0.4921076511254257
100% Corpus,9,asymmetric,0.9099999999999999,0.43765602012894167
100% Corpus,9,asymmetric,symmetric,0.4783623880249336
100% Corpus,10,0.01,0.01,0.4324678727941711
100% Corpus,10,0.01,0.31,0.47912374704641303
100% Corpus,10,0.01,0.61,0.4994121092381018
100% Corpus,10,0.01,0.9099999999999999,0.4634148024591192
100% Corpus,10,0.01,symmetric,0.4666202944023678
100% Corpus,10,0.31,0.01,0.46646395203517066
100% Corpus,10,0.31,0.31,0.49451469522990016
100% Corpus,10,0.31,0.61,0.5030759958921022
100% Corpus,10,0.31,0.9099999999999999,0.4698013365663377
100% Corpus,10,0.31,symmetric,0.4768758631434051
100% Corpus,10,0.61,0.01,0.4629526270099532
100% Corpus,10,0.61,0.31,0.47435648746397574
100% Corpus,10,0.61,0.61,0.5338344412144682
100% Corpus,10,0.61,0.9099999999999999,0.5172386661092768
100% Corpus,10,0.61,symmetric,0.4660152598062253
100% Corpus,10,0.9099999999999999,0.01,0.4827062326660296
100% Corpus,10,0.9099999999999999,0.31,0.4684312929545492
100% Corpus,10,0.9099999999999999,0.61,0.47940488687457083
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.5310093578849463
100% Corpus,10,0.9099999999999999,symmetric,0.47654532587459775
100% Corpus,10,symmetric,0.01,0.43253151500067355
100% Corpus,10,symmetric,0.31,0.49341474628826143
100% Corpus,10,symmetric,0.61,0.4568046245498203
100% Corpus,10,symmetric,0.9099999999999999,0.4300725240487087
100% Corpus,10,symmetric,symmetric,0.45410138118122373
100% Corpus,10,asymmetric,0.01,0.4395377351095381
100% Corpus,10,asymmetric,0.31,0.5087452969697263
100% Corpus,10,asymmetric,0.61,0.5000723573994239
100% Corpus,10,asymmetric,0.9099999999999999,0.5109839205328489
100% Corpus,10,asymmetric,symmetric,0.4575009535071226
