,id,url,details_cases,downloaded
55,/utiac/pa-03434-2020,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76817/PA034342020.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '23 Sep 2022', 'Promulgation date:': '11 Dec 2022', 'Publication date:': '29 Dec 2022', 'Last updated on:': '29 Dec 2022', 'Country:': '', 'Judges:': ''}",OK
56,/utiac/pa-00157-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76816/PA001572021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '19 Oct 2022', 'Promulgation date:': '11 Dec 2022', 'Publication date:': '29 Dec 2022', 'Last updated on:': '29 Dec 2022', 'Country:': '', 'Judges:': ''}",OK
57,/utiac/ia-05789-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76815/IA057892021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 8 Nov 2022', 'Promulgation date:': '11 Dec 2022', 'Publication date:': '29 Dec 2022', 'Last updated on:': '29 Dec 2022', 'Country:': '', 'Judges:': ''}",OK
58,/utiac/hu-04592-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76814/HU045922021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '24 Oct 2022', 'Promulgation date:': '11 Dec 2022', 'Publication date:': '29 Dec 2022', 'Last updated on:': '29 Dec 2022', 'Country:': '', 'Judges:': ''}",OK
59,/utiac/ea-15130-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76813/EA151302021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 7 Nov 2022', 'Promulgation date:': '11 Dec 2022', 'Publication date:': '29 Dec 2022', 'Last updated on:': '29 Dec 2022', 'Country:': '', 'Judges:': ''}",OK
60,/utiac/ea-14508-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76812/EA145082021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 6 Oct 2022', 'Promulgation date:': '11 Dec 2022', 'Publication date:': '29 Dec 2022', 'Last updated on:': '29 Dec 2022', 'Country:': '', 'Judges:': ''}",OK
61,/utiac/ea-10745-2021-ors,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76811/EA107452021___Others.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '24 Oct 2022', 'Promulgation date:': '11 Dec 2022', 'Publication date:': '29 Dec 2022', 'Last updated on:': '29 Dec 2022', 'Country:': '', 'Judges:': ''}",OK
62,/utiac/ea-09129-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76810/EA091292021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '21 Oct 2022', 'Promulgation date:': '11 Dec 2022', 'Publication date:': '29 Dec 2022', 'Last updated on:': '29 Dec 2022', 'Country:': '', 'Judges:': ''}",OK
63,/utiac/ea-01800-2021,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76809/EA018002021.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': '21 Oct 2022', 'Promulgation date:': '11 Dec 2022', 'Publication date:': '29 Dec 2022', 'Last updated on:': '29 Dec 2022', 'Country:': '', 'Judges:': ''}",OK
64,/utiac/ea-00724-2022,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/76808/EA007242022.pdf,"{'Case title:': '', 'Appellant name:': '', 'Status of case:': 'Unreported', 'Hearing date:': ' 7 Nov 2022', 'Promulgation date:': '11 Dec 2022', 'Publication date:': '29 Dec 2022', 'Last updated on:': '29 Dec 2022', 'Country:': '', 'Judges:': ''}",OK
